map_score,mean
145,0
156,0
158,0
159,0
162,0
164,0
165,0
167,0
169,0
170,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0.08333333333333333
191,0.07142857142857142
192,0
193,0
194,0.07692307692307693
195,0.08333333333333333
196,0
197,0
198,0
199,0
200,0
201,0.14285714285714285
202,0.047619047619047616
203,0.2222222222222222
204,0.2222222222222222
205,0.16
206,0.2631578947368421
207,0.2857142857142857
208,0.375
209,0.2608695652173913
210,0.5
211,0.47368421052631576
212,0.5454545454545454
213,0.5882352941176471
214,0.42857142857142855
215,0.7058823529411765
216,0.7272727272727273
217,0.6
218,0.6
219,0.6923076923076923
220,0.75
221,0.6666666666666666
222,0.625
223,0.3333333333333333
224,0.6666666666666666
225,1
226,1
227,1
228,1
229,1
230,1
232,1
233,1
243,1
