StateAbbr,Lat,Long
FL,27.280868,80.3832155
FL,27.792895,82.6650743
FL,26.1546878,80.2998411
FL,30.4548951,84.252646
FL,27.996198,82.445035
FL,26.7478715,80.1337398
GA,31.5776037,84.1763241
GA,33.9508171,83.3689417
GA,33.7626525,84.4231419
GA,33.3644562,82.0708397
GA,32.5099615,84.8770411
GA,34.0332992,84.2027196
GA,32.8320418,83.6495824
GA,34.0391385,84.3512225
GA,33.936667,84.3703197
GA,32.0283615,81.1783435
GA,32.5985114,83.6530271
HI,21.4588039,157.973297
ID,43.5984344,116.230885
ID,43.6185195,116.397585
ID,43.5829316,116.564145
IL,42.0956233,87.9825627
IL,41.7637751,88.2900949
IL,40.4756778,88.9700814
IL,41.6911654,88.1011218
IL,40.1151051,88.2729846
IL,41.8372951,87.6862309
IL,41.8445391,87.7592873
IL,39.8555823,88.9336983
IL,42.0385402,88.3224947
IL,42.04631,87.6940349
IL,41.520639,88.1507098
IL,41.7482001,88.1657705
IL,42.1180664,88.0429899
IL,40.7515684,89.6152555
IL,42.263318,89.0625958
IL,42.0305489,88.0838664
IL,39.7716473,89.654078
IL,42.3702956,87.8712595
IN,39.1637458,86.5257124
IN,39.9658405,86.1461278
IN,37.9867158,87.5382707
IN,39.9587635,85.9693107
IN,41.088492,85.1435899
IN,41.5904779,87.3472907
IN,41.6171443,87.4909551
IN,39.7771221,86.1457822
IN,40.3994285,86.8617007
IN,40.1987098,85.394294
IN,41.6769915,86.2690372
IA,41.9667293,91.6781679
IA,41.5557927,90.605173
IA,41.574135,93.6165066
IA,41.655895,91.5308855
IA,42.4963149,96.3913835
IA,42.4919737,92.3521759
KS,39.1234621,94.7441921
KS,38.9599303,95.2628259
KS,38.884693,94.819207
KS,38.8872923,94.6872267
KS,39.035955,95.6954155
KS,37.6905615,97.3429367
KY,38.0423254,84.458726
KY,38.177769,85.66641
LA,30.4510892,91.1263552
LA,30.0106937,90.255032
LA,30.2120583,92.0317532
LA,30.203068,93.2148796
LA,30.068701,89.9316318
LA,32.4671619,93.7962236
ME,43.6779836,70.2752545
MD,39.3084524,76.6160492
MA,42.3155797,71.0916506
MA,42.0820714,71.0241656
MA,42.3758188,71.1183992
MA,41.7139908,71.0996397
MA,42.7002772,71.162679
MA,42.6388727,71.3217144
MA,42.4783323,70.9662373
MA,41.6712667,70.9441205
MA,42.3316568,71.2084467
MA,42.2492982,71.0218764
MA,42.3905739,71.1017451
MA,42.1154978,72.5395254
MA,42.2705425,71.8079405
MI,42.2756834,83.7311374
MI,42.3126885,83.2129368
MI,42.3847016,83.1053179
MI,42.4859957,83.377116
MI,43.0236339,83.692064
MI,42.9614815,85.6556858
MI,42.2748756,85.5881886
MI,42.7090712,84.558447
MI,42.3971593,83.3733074
MI,42.6645257,83.1563037
MI,42.4765016,83.2605285
MI,42.5809853,83.0303681
MI,42.581734,83.1457545
MI,42.4934233,83.0270075
MI,42.319222,83.3805462
MI,42.8909746,85.7067229
MN,44.8305852,93.3150996
MN,45.1112034,93.3505068
MN,46.7854703,92.1342014
MN,44.9635408,93.2678345
MN,45.0224629,93.4616016
MN,44.0150574,92.4775005
MN,44.9477403,93.1039958
MS,30.427377,89.0701908
MS,32.3162722,90.2124529
MO,38.948111,92.326013
MO,39.0870795,94.3502748
MO,39.1239414,94.5541237
MO,38.9170508,94.3814866
MO,38.7852244,90.7176857
MO,39.7598312,94.8209247
MO,38.6358123,90.2451187
MO,37.1942661,93.2914274
MT,45.7893103,108.548828
MT,46.8694402,114.009864
NE,40.8096196,96.6806742
NE,41.2642309,96.0415076
NV,36.0122395,115.037392
NV,36.2274148,115.26267
NV,36.2891994,115.088496
NV,39.5540172,119.852734
NV,39.5733733,119.713134
NH,42.9844542,71.4445313
NH,42.7491554,71.4909588
NJ,39.936191,75.1072962
NJ,40.8631217,74.1575145
NJ,40.6664448,74.1938679
NJ,40.7188131,74.0687741
NJ,40.7260693,74.1752997
NJ,40.8574581,74.1281123
NJ,40.9146875,74.1624181
NJ,40.223729,74.7639943
NJ,40.7674607,74.0322935
NM,35.1055026,106.647448
NM,32.3266388,106.789466
NM,35.2873079,106.697982
NM,35.666272,105.972663
NY,42.666397,73.7986826
NY,42.9014518,78.8475237
NY,40.9136009,73.8291002
NY,40.9321713,73.7843883
NY,40.6949607,73.931385
NY,43.1679803,77.6162349
NY,42.8025204,73.9275334
NY,43.0409202,76.1437679
NY,40.9465026,73.863696
NC,35.5708251,82.5537351
NC,35.7814979,78.8152192
NC,35.2078722,80.8300755
NC,35.3939317,80.6352429
NC,35.9809147,78.9059161
NC,35.085131,78.9791676
NC,35.2472984,81.1836588
NC,36.096048,79.8276833
NC,35.5959212,77.3766134
NC,35.9881244,79.9932956
NC,34.7331103,77.3951823
NC,35.8322081,78.6440244
NC,34.2102759,77.8872842
NC,36.1029453,80.2609889
